"Family","Genus","Species","TaxonomyID"
"Fabaceae","Julbernardia","pellegriniana",223
"Cupressaceae","Juniperus","virginiana",224
"Pinaceae","Keteleeria","evelyniana",225
"Khaya","Khaya","ivorensis",226
"Sapindaceae","Koelreuteria","bipinnata",227
"Lythraceae","Lagerstroemia","tomentosa",228
"Pinaceae","Larix","occidentalis",229
"Leplaea","Leplaea","cedrata",230
"Altingiaceae","Liquidambar","styraciflua",231
"Magnoliaceae","Liriodendron","tulipifera",232
"Fagaceae","Lithocarpus","sp.",233
"Ochnaceae","Lophira","alata",234
"Lophira","Lophira","alata",235
"Fabaceae","Machaerium","inundatum",236
"Lauraceae","Machilus","sp.",237
"Moraceae","Maclura","pomifera",238
"Fabaceae","Macrolobium","acaciifolium",239
"Fabaceae","Macrolobium","sp.",240
"Magnoliaceae","Magnolia","acuminata",241
"Magnoliaceae","Magnolia","sp.",242
"Anacardiaceae","Mangifera","sp.",243
"Sapotaceae","Manilkara","bidentata",244
"Malvaceae","Matisia","cordata",245
"Meliaceae","Melia","azedarach",246
"Calophyllaceae","Mesua","ferrea",247
"Lauraceae","Mezilaurus","ita-uba",248
"Lauraceae","Mezilaurus","synandra",249
"Malvaceae","Microcos","paniculata",250
"Sapotaceae","Micropholis","sp.",251
"Fabaceae","Mildbraediodendron","excelsum",252
"Milicia","Milicia","excelsa",253
"Fabaceae","Millettia","laurentii",254
"Millettia","Millettia","laurentii",255
"Fabaceae","Millettia","leucantha",256
"Fabaceae","Millettia","sp.",257
"Rubiaceae","Mitragyna","rotundifolia",258
"Rubiaceae","Morinda","sp.",259
"Moraceae","Morus","rubra",260
"Fabaceae","Myroxylon","balsamum",261
"Fabaceae","Myroxylon","peruiferum",262
"Fabaceae","Myroxylon","toluiferum",263
"Rubiaceae","Nauclea","diderrichii",264
"Rubiaceae","Nauclea","orientalis",265
"Lauraceae","Nectandra","sp.",266
"Nyctaginaceae","Neea","sp.",267
"Rubiaceae","Neonauclea","sp.",268
"Fagaceae","Notholithcarpus","densiflorus",269
"Nyssaceae","Nyssa","aquatica",270
"Nyssaceae","Nyssa","sylvatica",271
